word,spelling_status,confidence_score,classification_reason,frequency
मेरा,correct spelling,high,found in reference vocabulary,176
घर,correct spelling,high,found in reference vocabulary,173
किया,correct spelling,high,found in reference vocabulary,172
दिन,correct spelling,high,found in reference vocabulary,167
वही,correct spelling,high,found in reference vocabulary,166
वहां,correct spelling,high,found in reference vocabulary,165
।,correct spelling,high,found in reference vocabulary,163
करने,correct spelling,high,found in reference vocabulary,161
रहता,correct spelling,high,found in reference vocabulary,159
करके,correct spelling,high,found in reference vocabulary,154
है।,correct spelling,high,found in reference vocabulary,150
टॉपिक,correct spelling,high,found in reference vocabulary,146
हु,correct spelling,high,found in reference vocabulary,146
आपके,correct spelling,high,found in reference vocabulary,143
बारे,correct spelling,high,found in reference vocabulary,140
वह,correct spelling,high,found in reference vocabulary,138
दो,correct spelling,high,found in reference vocabulary,138
पता,correct spelling,high,found in reference vocabulary,136
करता,correct spelling,high,found in reference vocabulary,136
लगा,correct spelling,high,found in reference vocabulary,135
ने,correct spelling,high,found in reference vocabulary,135
आज,correct spelling,high,found in reference vocabulary,134
उनको,correct spelling,high,found in reference vocabulary,133
होगा,correct spelling,high,found in reference vocabulary,133
लोगों,correct spelling,high,found in reference vocabulary,133
ह्म्म,correct spelling,high,found in reference vocabulary,133
तक,correct spelling,high,found in reference vocabulary,132
पास,correct spelling,high,found in reference vocabulary,130
समय,correct spelling,high,found in reference vocabulary,129
कॉलेज,correct spelling,high,found in reference vocabulary,128
हमारा,correct spelling,high,found in reference vocabulary,127
जा,correct spelling,high,found in reference vocabulary,125
आता,correct spelling,high,found in reference vocabulary,125
उनके,correct spelling,high,found in reference vocabulary,123
आपका,correct spelling,high,found in reference vocabulary,123
सबसे,correct spelling,high,found in reference vocabulary,122
पसंद,correct spelling,high,found in reference vocabulary,116
उसका,correct spelling,high,found in reference vocabulary,116
गई,correct spelling,high,found in reference vocabulary,110
रहते,correct spelling,high,found in reference vocabulary,109
स्कूल,correct spelling,high,found in reference vocabulary,109
जाती,correct spelling,high,found in reference vocabulary,108
अपनी,correct spelling,high,found in reference vocabulary,107
यही,correct spelling,high,found in reference vocabulary,106
मेरी,correct spelling,high,found in reference vocabulary,106
कैसे,correct spelling,high,found in reference vocabulary,104
ले,correct spelling,high,found in reference vocabulary,104
खाना,correct spelling,high,found in reference vocabulary,103
वैसे,correct spelling,high,found in reference vocabulary,102
अच्छे,correct spelling,high,found in reference vocabulary,101
मे,correct spelling,high,found in reference vocabulary,99
सकता,correct spelling,high,found in reference vocabulary,99
फोन,correct spelling,high,found in reference vocabulary,99
वहाँ,correct spelling,high,found in reference vocabulary,98
सारे,correct spelling,high,found in reference vocabulary,98
कम,correct spelling,high,found in reference vocabulary,97
जाए,correct spelling,high,found in reference vocabulary,96
इतना,correct spelling,high,found in reference vocabulary,95
हर,correct spelling,high,found in reference vocabulary,95
वाला,correct spelling,high,found in reference vocabulary,94
बोल,correct spelling,high,found in reference vocabulary,94
अलग,correct spelling,high,found in reference vocabulary,92
ऐसी,correct spelling,high,found in reference vocabulary,92
कौन,correct spelling,high,found in reference vocabulary,92
यहां,correct spelling,high,found in reference vocabulary,92
दिया,correct spelling,high,found in reference vocabulary,91
दोस्त,correct spelling,high,found in reference vocabulary,91
वाले,correct spelling,high,found in reference vocabulary,91
आपकी,correct spelling,high,found in reference vocabulary,91
ज़्यादा,correct spelling,high,found in reference vocabulary,91
तब,correct spelling,high,found in reference vocabulary,91
नही,correct spelling,high,found in reference vocabulary,90
मै,correct spelling,high,found in reference vocabulary,89
सारी,correct spelling,high,found in reference vocabulary,88
बना,correct spelling,high,found in reference vocabulary,87
हमने,correct spelling,high,found in reference vocabulary,86
चीजें,correct spelling,high,found in reference vocabulary,86
जॉब,correct spelling,high,found in reference vocabulary,86
आवाज,correct spelling,high,found in reference vocabulary,84
वगैरह,correct spelling,high,found in reference vocabulary,84
हू,correct spelling,high,found in reference vocabulary,84
भाई,correct spelling,high,found in reference vocabulary,84
जीवन,correct spelling,high,found in reference vocabulary,84
मिल,correct spelling,high,found in reference vocabulary,83
जगह,correct spelling,high,found in reference vocabulary,82
अनुभव,correct spelling,high,found in reference vocabulary,81
बता,correct spelling,high,found in reference vocabulary,81
लेते,correct spelling,high,found in reference vocabulary,81
अच्छी,correct spelling,high,found in reference vocabulary,81
उनका,correct spelling,high,found in reference vocabulary,81
इसके,correct spelling,high,found in reference vocabulary,81
जाना,correct spelling,high,found in reference vocabulary,80
हेलो,correct spelling,high,found in reference vocabulary,80
कई,correct spelling,high,found in reference vocabulary,79
अपन,correct spelling,high,found in reference vocabulary,79
कहा,correct spelling,high,found in reference vocabulary,78
आगे,correct spelling,high,found in reference vocabulary,78
तरह,correct spelling,high,found in reference vocabulary,78
नए,correct spelling,high,found in reference vocabulary,77
इसमें,correct spelling,high,found in reference vocabulary,77
दे,correct spelling,high,found in reference vocabulary,75
खुद,correct spelling,high,found in reference vocabulary,75
आते,correct spelling,high,found in reference vocabulary,75
देते,correct spelling,high,found in reference vocabulary,75
मन,correct spelling,high,found in reference vocabulary,74
तरीके,correct spelling,high,found in reference vocabulary,74
आती,correct spelling,high,found in reference vocabulary,73
अह,correct spelling,high,found in reference vocabulary,72
बट,correct spelling,high,found in reference vocabulary,72
इसलिए,correct spelling,high,found in reference vocabulary,71
उससे,correct spelling,high,found in reference vocabulary,70
समझ,correct spelling,high,found in reference vocabulary,69
याद,correct spelling,high,found in reference vocabulary,69
मदद,correct spelling,high,found in reference vocabulary,69
बाहर,correct spelling,high,found in reference vocabulary,68
उन,correct spelling,high,found in reference vocabulary,68
लिया,correct spelling,high,found in reference vocabulary,68
रात,correct spelling,high,found in reference vocabulary,67
आया,correct spelling,high,found in reference vocabulary,67
उनकी,correct spelling,high,found in reference vocabulary,66
पूरा,correct spelling,high,found in reference vocabulary,66
अंदर,correct spelling,high,found in reference vocabulary,66
बताइए,correct spelling,high,found in reference vocabulary,64
हुए,correct spelling,high,found in reference vocabulary,63
लग,correct spelling,high,found in reference vocabulary,63
मैम,correct spelling,high,found in reference vocabulary,63
करती,correct spelling,high,found in reference vocabulary,62
चल,correct spelling,high,found in reference vocabulary,62
कह,correct spelling,high,found in reference vocabulary,62
मान,correct spelling,high,found in reference vocabulary,62
आजकल,correct spelling,high,found in reference vocabulary,62
पड़ता,correct spelling,high,found in reference vocabulary,62
मिलता,correct spelling,high,found in reference vocabulary,62
सामने,correct spelling,high,found in reference vocabulary,61
यस,correct spelling,high,found in reference vocabulary,61
टीचर,correct spelling,high,found in reference vocabulary,61
देख,correct spelling,high,found in reference vocabulary,60
करें,correct spelling,high,found in reference vocabulary,60
रहती,correct spelling,high,found in reference vocabulary,60
जल्दी,correct spelling,high,found in reference vocabulary,60
आह,correct spelling,high,found in reference vocabulary,59
बोला,correct spelling,high,found in reference vocabulary,59
होने,correct spelling,high,found in reference vocabulary,59
चला,correct spelling,high,found in reference vocabulary,59
लाइफ,correct spelling,high,found in reference vocabulary,59
वगैरा,correct spelling,high,found in reference vocabulary,58
ट्रेन,correct spelling,high,found in reference vocabulary,58
हैं।,correct spelling,high,found in reference vocabulary,58
गाना,correct spelling,high,found in reference vocabulary,58
गलती,correct spelling,high,found in reference vocabulary,58
देखा,correct spelling,high,found in reference vocabulary,57
बच्चे,correct spelling,high,found in reference vocabulary,56
आपसे,correct spelling,high,found in reference vocabulary,56
हमारी,correct spelling,high,found in reference vocabulary,56
आई,correct spelling,high,found in reference vocabulary,55
हमको,correct spelling,high,found in reference vocabulary,54
थोड़ी,correct spelling,high,found in reference vocabulary,54
शेयर,correct spelling,high,found in reference vocabulary,54
उनसे,correct spelling,high,found in reference vocabulary,54
शायद,correct spelling,high,found in reference vocabulary,54
उसकी,correct spelling,high,found in reference vocabulary,54
हुई,correct spelling,high,found in reference vocabulary,54
बताया,correct spelling,high,found in reference vocabulary,54
आए,correct spelling,high,found in reference vocabulary,53
बचपन,correct spelling,high,found in reference vocabulary,53
जैसा,correct spelling,high,found in reference vocabulary,53
शादी,correct spelling,high,found in reference vocabulary,53
यार,correct spelling,high,found in reference vocabulary,53
उन्होंने,correct spelling,high,found in reference vocabulary,53
लेके,correct spelling,high,found in reference vocabulary,52
वाली,correct spelling,high,found in reference vocabulary,52
सी,correct spelling,high,found in reference vocabulary,52
लो,correct spelling,high,found in reference vocabulary,51
सोच,correct spelling,high,found in reference vocabulary,51
शहर,correct spelling,high,found in reference vocabulary,51
होगी,correct spelling,high,found in reference vocabulary,51
नई,correct spelling,high,found in reference vocabulary,51
मिनट,correct spelling,high,found in reference vocabulary,51
परिवार,correct spelling,high,found in reference vocabulary,51
सकती,correct spelling,high,found in reference vocabulary,50
ऊपर,correct spelling,high,found in reference vocabulary,50
दोस्तों,correct spelling,high,found in reference vocabulary,50
लेकर,correct spelling,high,found in reference vocabulary,49
जी।,correct spelling,high,found in reference vocabulary,49
बड़ा,correct spelling,high,found in reference vocabulary,49
पैसे,correct spelling,high,found in reference vocabulary,49
किस,correct spelling,high,found in reference vocabulary,48
जहां,correct spelling,high,found in reference vocabulary,48
बड़ी,correct spelling,high,found in reference vocabulary,48
छोटे,correct spelling,high,found in reference vocabulary,48
देता,correct spelling,high,found in reference vocabulary,48
उन्हें,correct spelling,high,found in reference vocabulary,48
ओके,correct spelling,high,found in reference vocabulary,47
होंगे,correct spelling,high,found in reference vocabulary,47
तीन,correct spelling,high,found in reference vocabulary,47
उसे,correct spelling,high,found in reference vocabulary,46
पुराने,correct spelling,high,found in reference vocabulary,46
साल,correct spelling,high,found in reference vocabulary,46
जिससे,correct spelling,high,found in reference vocabulary,46
क्लास,correct spelling,high,found in reference vocabulary,46
मैने,correct spelling,high,found in reference vocabulary,46
बातें,correct spelling,high,found in reference vocabulary,46
घूमने,correct spelling,high,found in reference vocabulary,45
कही,correct spelling,high,found in reference vocabulary,45
दूसरे,correct spelling,high,found in reference vocabulary,45
होना,correct spelling,high,found in reference vocabulary,45
बन,correct spelling,high,found in reference vocabulary,45
हांजी,correct spelling,high,found in reference vocabulary,45
देना,correct spelling,high,found in reference vocabulary,44
चार,correct spelling,high,found in reference vocabulary,44
गलत,correct spelling,high,found in reference vocabulary,44
इन,correct spelling,high,found in reference vocabulary,44
फ्रेंड्स,correct spelling,high,found in reference vocabulary,44
खेल,correct spelling,high,found in reference vocabulary,44
इसी,correct spelling,high,found in reference vocabulary,43
अगला,correct spelling,high,found in reference vocabulary,43
आदमी,correct spelling,high,found in reference vocabulary,43
दस,correct spelling,high,found in reference vocabulary,42
जाने,correct spelling,high,found in reference vocabulary,42
खाने,correct spelling,high,found in reference vocabulary,42
देखते,correct spelling,high,found in reference vocabulary,42
क्यों,correct spelling,high,found in reference vocabulary,42
गाने,correct spelling,high,found in reference vocabulary,42
मम्मी,correct spelling,high,found in reference vocabulary,41
जिस,correct spelling,high,found in reference vocabulary,41
चीज़,correct spelling,high,found in reference vocabulary,41
हमेशा,correct spelling,high,found in reference vocabulary,41
कल,correct spelling,high,found in reference vocabulary,41
तुम,correct spelling,high,found in reference vocabulary,41
दिक्कत,correct spelling,high,found in reference vocabulary,41
लेता,correct spelling,high,found in reference vocabulary,41
इंसान,correct spelling,high,found in reference vocabulary,41
किताब,correct spelling,high,found in reference vocabulary,41
कट,correct spelling,high,found in reference vocabulary,40
बोलते,correct spelling,high,found in reference vocabulary,40
बनाना,correct spelling,high,found in reference vocabulary,40
हुं,correct spelling,high,found in reference vocabulary,40
हेल्प,correct spelling,high,found in reference vocabulary,40
इसका,correct spelling,high,found in reference vocabulary,40
दोनों,correct spelling,high,found in reference vocabulary,39
चीजों,correct spelling,high,found in reference vocabulary,39
उसी,correct spelling,high,found in reference vocabulary,39
लेना,correct spelling,high,found in reference vocabulary,39
करनी,correct spelling,high,found in reference vocabulary,38
उतना,correct spelling,high,found in reference vocabulary,38
कोशिश,correct spelling,high,found in reference vocabulary,38
बोलिए,correct spelling,high,found in reference vocabulary,38
बड़े,correct spelling,high,found in reference vocabulary,38
मिलती,correct spelling,high,found in reference vocabulary,38
जाएगा,correct spelling,high,found in reference vocabulary,38
मोबाइल,correct spelling,high,found in reference vocabulary,38
दूर,correct spelling,high,found in reference vocabulary,38
पैसा,correct spelling,high,found in reference vocabulary,38
अरे,correct spelling,high,found in reference vocabulary,38
करेंगे,correct spelling,high,found in reference vocabulary,38
मजा,correct spelling,high,found in reference vocabulary,37
वहीं,correct spelling,high,found in reference vocabulary,37
सभी,correct spelling,high,found in reference vocabulary,37
चाहे,correct spelling,high,found in reference vocabulary,37
नाम,correct spelling,high,found in reference vocabulary,37
करो,correct spelling,high,found in reference vocabulary,36
जाएंगे,correct spelling,high,found in reference vocabulary,36
भारत,correct spelling,high,found in reference vocabulary,36
नेक्स्ट,correct spelling,high,found in reference vocabulary,36
चलता,correct spelling,high,found in reference vocabulary,36
कहां,correct spelling,high,found in reference vocabulary,36
लीजिए,correct spelling,high,found in reference vocabulary,36
धन्यवाद,correct spelling,high,found in reference vocabulary,36
देश,correct spelling,high,found in reference vocabulary,36
चलो,correct spelling,high,found in reference vocabulary,36
करा,correct spelling,high,found in reference vocabulary,36
सके,correct spelling,high,found in reference vocabulary,36
छूट,correct spelling,high,found in reference vocabulary,36
रह,correct spelling,high,found in reference vocabulary,35
सुबह,correct spelling,high,found in reference vocabulary,35
बिलकुल,correct spelling,high,found in reference vocabulary,35
उसने,correct spelling,high,found in reference vocabulary,35
एकदम,correct spelling,high,found in reference vocabulary,35
हमे,correct spelling,high,found in reference vocabulary,35
सिर्फ,correct spelling,high,found in reference vocabulary,35
आने,correct spelling,high,found in reference vocabulary,34
रोड,correct spelling,high,found in reference vocabulary,34
बोले,correct spelling,high,found in reference vocabulary,34
फ्रेंड,correct spelling,high,found in reference vocabulary,34
देखने,correct spelling,high,found in reference vocabulary,34
कहते,correct spelling,high,found in reference vocabulary,34
कैसा,correct spelling,high,found in reference vocabulary,34
चलिए,correct spelling,high,found in reference vocabulary,34
जरूर,correct spelling,high,found in reference vocabulary,34
चीज़े,correct spelling,high,found in reference vocabulary,34
पांच,correct spelling,high,found in reference vocabulary,34
ध्यान,correct spelling,high,found in reference vocabulary,34
देखना,correct spelling,high,found in reference vocabulary,33
बिना,correct spelling,high,found in reference vocabulary,33
चाहते,correct spelling,high,found in reference vocabulary,33
डर,correct spelling,high,found in reference vocabulary,33
खेलते,correct spelling,high,found in reference vocabulary,33
बताना,correct spelling,high,found in reference vocabulary,33
हे,correct spelling,high,found in reference vocabulary,33
डाल,correct spelling,high,found in reference vocabulary,32
ओर,correct spelling,high,found in reference vocabulary,32
जरूरी,correct spelling,high,found in reference vocabulary,32
देती,correct spelling,high,found in reference vocabulary,32
पसंदीदा,correct spelling,high,found in reference vocabulary,32
हिसाब,correct spelling,high,found in reference vocabulary,32
बनाते,correct spelling,high,found in reference vocabulary,32
मस्ती,correct spelling,high,found in reference vocabulary,32
फर्स्ट,correct spelling,high,found in reference vocabulary,32
देर,correct spelling,high,found in reference vocabulary,32
पाते,correct spelling,high,found in reference vocabulary,32
दिनचर्या,correct spelling,high,found in reference vocabulary,32
दी,correct spelling,high,found in reference vocabulary,31
उधर,correct spelling,high,found in reference vocabulary,31
वजह,correct spelling,high,found in reference vocabulary,31
हैलो,correct spelling,high,found in reference vocabulary,31
बढ़िया,correct spelling,high,found in reference vocabulary,31
बीच,correct spelling,high,found in reference vocabulary,31
धीरे,correct spelling,high,found in reference vocabulary,31
नौकरी,correct spelling,high,found in reference vocabulary,31
अलावा,correct spelling,high,found in reference vocabulary,31
क्रिकेट,correct spelling,high,found in reference vocabulary,31
तरफ,correct spelling,high,found in reference vocabulary,30
वहा,correct spelling,high,found in reference vocabulary,30
ह,correct spelling,high,found in reference vocabulary,30
चुका,correct spelling,high,found in reference vocabulary,30
हिंदी,correct spelling,high,found in reference vocabulary,30
चले,correct spelling,high,found in reference vocabulary,29
ली,correct spelling,high,found in reference vocabulary,29
बाकी,correct spelling,high,found in reference vocabulary,29
प्रॉब्लम,correct spelling,high,found in reference vocabulary,29
ए,correct spelling,high,found in reference vocabulary,29
सुन,correct spelling,high,found in reference vocabulary,29
गांव,correct spelling,high,found in reference vocabulary,29
जिसे,correct spelling,high,found in reference vocabulary,29
पढ़,correct spelling,high,found in reference vocabulary,29
पा,correct spelling,high,found in reference vocabulary,29
इससे,correct spelling,high,found in reference vocabulary,29
जरूरत,correct spelling,high,found in reference vocabulary,29
करियर,correct spelling,high,found in reference vocabulary,29
चीजे,correct spelling,high,found in reference vocabulary,28
इतनी,correct spelling,high,found in reference vocabulary,28
खा,correct spelling,high,found in reference vocabulary,28
बच्चों,correct spelling,high,found in reference vocabulary,28
पढ़ाई,correct spelling,high,found in reference vocabulary,28
दूसरा,correct spelling,high,found in reference vocabulary,28
मंदिर,correct spelling,high,found in reference vocabulary,28
लाइन,correct spelling,high,found in reference vocabulary,28
करेगा,correct spelling,high,found in reference vocabulary,28
चाहूंगा,correct spelling,high,found in reference vocabulary,28
एरिया,correct spelling,high,found in reference vocabulary,27
छोड़,correct spelling,high,found in reference vocabulary,27
रख,correct spelling,high,found in reference vocabulary,27
कहानी,correct spelling,high,found in reference vocabulary,27
मेहनत,correct spelling,high,found in reference vocabulary,27
कहना,correct spelling,high,found in reference vocabulary,27
पुराना,correct spelling,high,found in reference vocabulary,27
सॉन्ग,correct spelling,high,found in reference vocabulary,27
यूज,correct spelling,high,found in reference vocabulary,27
पॉइंट,correct spelling,high,found in reference vocabulary,27
मानना,correct spelling,high,found in reference vocabulary,27
व्यक्ति,correct spelling,high,found in reference vocabulary,27
लेने,correct spelling,high,found in reference vocabulary,27
कॉल,correct spelling,high,found in reference vocabulary,27
पड़ेगा,correct spelling,high,found in reference vocabulary,27
इधर,correct spelling,high,found in reference vocabulary,26
शाम,correct spelling,high,found in reference vocabulary,26
सुना,correct spelling,high,found in reference vocabulary,26
भूल,correct spelling,high,found in reference vocabulary,26
लगभग,correct spelling,high,found in reference vocabulary,26
पूरी,correct spelling,high,found in reference vocabulary,26
कितना,correct spelling,high,found in reference vocabulary,26
लगती,correct spelling,high,found in reference vocabulary,26
यहाँ,correct spelling,high,found in reference vocabulary,26
छोटा,correct spelling,high,found in reference vocabulary,26
खुशी,correct spelling,high,found in reference vocabulary,26
मिलते,correct spelling,high,found in reference vocabulary,26
नया,correct spelling,high,found in reference vocabulary,26
मैडम,correct spelling,high,found in reference vocabulary,26
जितना,correct spelling,high,found in reference vocabulary,26
फोटो,correct spelling,high,found in reference vocabulary,26
हाथ,correct spelling,high,found in reference vocabulary,26
जाके,correct spelling,high,found in reference vocabulary,26
उम्म,correct spelling,high,found in reference vocabulary,26
पढ़ना,correct spelling,high,found in reference vocabulary,26
पढ़ा,correct spelling,high,found in reference vocabulary,26
जाकर,correct spelling,high,found in reference vocabulary,25
कब,correct spelling,high,found in reference vocabulary,25
बनाने,correct spelling,high,found in reference vocabulary,25
करी,correct spelling,high,found in reference vocabulary,25
रोटी,correct spelling,high,found in reference vocabulary,25
खराब,correct spelling,high,found in reference vocabulary,25
फैमिली,correct spelling,high,found in reference vocabulary,25
हजार,correct spelling,high,found in reference vocabulary,25
एस,correct spelling,high,found in reference vocabulary,25
बाते,correct spelling,high,found in reference vocabulary,25
करे,correct spelling,high,found in reference vocabulary,25
आना,correct spelling,high,found in reference vocabulary,25
बदलाव,correct spelling,high,found in reference vocabulary,25
देखिए,correct spelling,high,found in reference vocabulary,24
नीचे,correct spelling,high,found in reference vocabulary,24
सारा,correct spelling,high,found in reference vocabulary,24
खास,correct spelling,high,found in reference vocabulary,24
ओ,correct spelling,high,found in reference vocabulary,24
जिसमें,correct spelling,high,found in reference vocabulary,24
पीछे,correct spelling,high,found in reference vocabulary,24
इसको,correct spelling,high,found in reference vocabulary,24
वैसा,correct spelling,high,found in reference vocabulary,24
चाहता,correct spelling,high,found in reference vocabulary,24
कंप्यूटर,correct spelling,high,found in reference vocabulary,24
मिला,correct spelling,high,found in reference vocabulary,23
सबको,correct spelling,high,found in reference vocabulary,23
लगे,correct spelling,high,found in reference vocabulary,23
पानी,correct spelling,high,found in reference vocabulary,23
कितनी,correct spelling,high,found in reference vocabulary,23
सोचा,correct spelling,high,found in reference vocabulary,23
सब्जेक्ट,correct spelling,high,found in reference vocabulary,23
कारण,correct spelling,high,found in reference vocabulary,23
रहने,correct spelling,high,found in reference vocabulary,22
महसूस,correct spelling,high,found in reference vocabulary,22
सामान,correct spelling,high,found in reference vocabulary,22
इसे,correct spelling,high,found in reference vocabulary,22
खाते,correct spelling,high,found in reference vocabulary,22
मुश्किल,correct spelling,high,found in reference vocabulary,22
चाहेंगे,correct spelling,high,found in reference vocabulary,22
रखा,correct spelling,high,found in reference vocabulary,22
तैयारी,correct spelling,high,found in reference vocabulary,22
मत,correct spelling,high,found in reference vocabulary,22
यानि,correct spelling,high,found in reference vocabulary,22
पढ़ने,correct spelling,high,found in reference vocabulary,22
सपना,correct spelling,high,found in reference vocabulary,22
सिचुएशन,correct spelling,high,found in reference vocabulary,22
किये,correct spelling,high,found in reference vocabulary,21
गिर,correct spelling,high,found in reference vocabulary,21
आएगा,correct spelling,high,found in reference vocabulary,21
एक्सपीरियंस,correct spelling,high,found in reference vocabulary,21
बहोत,correct spelling,high,found in reference vocabulary,21
लंच,correct spelling,high,found in reference vocabulary,21
देने,correct spelling,high,found in reference vocabulary,21
नेटवर्क,correct spelling,high,found in reference vocabulary,21
रखते,correct spelling,high,found in reference vocabulary,21
अलगअलग,correct spelling,high,found in reference vocabulary,21
पूरे,correct spelling,high,found in reference vocabulary,21
घाट,correct spelling,high,found in reference vocabulary,21
रुपए,correct spelling,high,found in reference vocabulary,21
द,correct spelling,high,found in reference vocabulary,21
जानकारी,correct spelling,high,found in reference vocabulary,21
लेट,correct spelling,high,found in reference vocabulary,21
बैठे,correct spelling,high,found in reference vocabulary,20
पहला,correct spelling,high,found in reference vocabulary,20
देंगे,correct spelling,high,found in reference vocabulary,20
हमलोग,correct spelling,high,found in reference vocabulary,20
साइड,correct spelling,high,found in reference vocabulary,20
तुलना,correct spelling,high,found in reference vocabulary,20
विचार,correct spelling,high,found in reference vocabulary,20
थोड़े,correct spelling,high,found in reference vocabulary,20
रखना,correct spelling,high,found in reference vocabulary,20
ताकि,correct spelling,high,found in reference vocabulary,20
इतने,correct spelling,high,found in reference vocabulary,20
मिले,correct spelling,high,found in reference vocabulary,20
शांत,correct spelling,high,found in reference vocabulary,20
सोचते,correct spelling,high,found in reference vocabulary,20
