word,label,confidence,reason,frequency
जाएंगे,correct,high,found in reference vocabulary,36
बोहोत,correct,high,found in reference vocabulary,19
अमेजन,correct,medium,close match to 'अमेज़न' (similarity=90.9090909090909),1
जंगन,incorrect,medium,possible typo of 'जंगल' (similarity=75.0),1
उससे,correct,high,found in reference vocabulary,70
थोड़ा,correct,high,found in reference vocabulary,251
जुड़ा,correct,high,found in reference vocabulary,5
हूं,correct,high,found in reference vocabulary,432
जी,correct,high,found in reference vocabulary,2143
लाइट,correct,high,found in reference vocabulary,9
वगैरा,correct,high,found in reference vocabulary,58
लेकर,correct,high,found in reference vocabulary,49
जाने,correct,high,found in reference vocabulary,42
चाहिए,correct,high,found in reference vocabulary,240
ने,correct,high,found in reference vocabulary,135
मिस्टेक,correct,medium,medium frequency in dataset (n=2),2
ले,correct,high,found in reference vocabulary,104
जहां,correct,high,found in reference vocabulary,48
रहेगा,correct,high,found in reference vocabulary,19
वहा,correct,high,found in reference vocabulary,30
मजा,correct,high,found in reference vocabulary,37
आएगा,correct,high,found in reference vocabulary,21
होनी,correct,high,found in reference vocabulary,5
बढ़ना,correct,high,found in reference vocabulary,6
भूल,correct,high,found in reference vocabulary,26
जायेगा,correct,medium,medium frequency in dataset (n=2),2
हा,correct,high,found in reference vocabulary,396
आपको,correct,high,found in reference vocabulary,339
तंबू,correct,high,found in reference vocabulary,4
गाड़,incorrect,medium,possible typo of 'गाड़ी' (similarity=88.88888888888889),1
रहते,correct,high,found in reference vocabulary,109
वगेरा,correct,high,found in reference vocabulary,7
कहीं,correct,high,found in reference vocabulary,195
कैम्पिंग,incorrect,medium,possible typo of 'कैंपिंग' (similarity=80.0),1
करने,correct,high,found in reference vocabulary,161
आसपास,correct,high,found in reference vocabulary,15
आग,correct,high,found in reference vocabulary,4
लहरा,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
देना,correct,high,found in reference vocabulary,44
।,correct,high,found in reference vocabulary,163
हापहली,incorrect,medium,possible typo of 'पहली' (similarity=80.0),1
थाक्या,incorrect,medium,possible typo of 'क्या' (similarity=80.0),1
आप,correct,high,found in reference vocabulary,824
कैंपिंग,correct,high,found in reference vocabulary,5
रास्ते,correct,high,found in reference vocabulary,11
होते,correct,high,found in reference vocabulary,220
हैथोड़े,incorrect,medium,possible typo of 'थोड़े' (similarity=83.33333333333334),1
हैवो,correct,high,found in reference vocabulary,3
उबड़खाबड़,incorrect,low,no close match found in vocabulary (best=71.42857142857143),1
है।,correct,high,found in reference vocabulary,150
बिल्कुल।,correct,high,found in reference vocabulary,7
जंगलों,correct,high,found in reference vocabulary,5
किसी,correct,high,found in reference vocabulary,275
एडवेंचर,incorrect,low,no close match found in vocabulary (best=60.0),1
इसी,correct,high,found in reference vocabulary,43
माहौल,correct,high,found in reference vocabulary,18
उसे,correct,high,found in reference vocabulary,46
सबको,correct,high,found in reference vocabulary,23
आह,correct,high,found in reference vocabulary,59
जी।,correct,high,found in reference vocabulary,49
सीधे,correct,high,found in reference vocabulary,5
सोई,correct,high,found in reference vocabulary,3
हुए,correct,high,found in reference vocabulary,63
टांक,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
लिया,correct,high,found in reference vocabulary,68
साउन,incorrect,medium,possible typo of 'समान' (similarity=75.0),1
आपके,correct,high,found in reference vocabulary,143
हाहाहाआपको,incorrect,low,no close match found in vocabulary (best=57.14285714285714),1
लग,correct,high,found in reference vocabulary,63
होगा,correct,high,found in reference vocabulary,133
अहम,incorrect,medium,possible typo of 'हम' (similarity=80.0),1
टी,correct,high,found in reference vocabulary,14
अह,correct,high,found in reference vocabulary,72
तक,correct,high,found in reference vocabulary,132
मेरा,correct,high,found in reference vocabulary,176
एक्सपीरियंस,correct,high,found in reference vocabulary,21
या,correct,high,found in reference vocabulary,405
हिल,correct,high,found in reference vocabulary,3
स्टेशन,correct,high,found in reference vocabulary,10
कैंम्पिंग,incorrect,medium,possible typo of 'कैंपिंग' (similarity=87.5),1
योजना,correct,high,found in reference vocabulary,12
बनाये,correct,high,found in reference vocabulary,3
नेपाल,correct,high,found in reference vocabulary,6
कुख्यात,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
बहोत,correct,high,found in reference vocabulary,21
बड़ी,correct,high,found in reference vocabulary,48
बोर्डर,incorrect,medium,possible typo of 'बॉर्डर' (similarity=83.33333333333334),1
बिहा,incorrect,medium,possible typo of 'बिहार' (similarity=88.88888888888889),1
बिहार,correct,high,found in reference vocabulary,14
बॉर्डर,correct,high,found in reference vocabulary,3
भारत,correct,high,found in reference vocabulary,36
बड़ा,correct,high,found in reference vocabulary,49
घनां,incorrect,medium,possible typo of 'घटनाओं' (similarity=80.0),1
लगभग,correct,high,found in reference vocabulary,26
मेरे,correct,high,found in reference vocabulary,354
बारह,correct,high,found in reference vocabulary,5
मे,correct,high,found in reference vocabulary,99
फैला,correct,high,found in reference vocabulary,5
मैं,correct,high,found in reference vocabulary,867
बता,correct,high,found in reference vocabulary,81
हूँ,correct,high,found in reference vocabulary,208
अह्ह्ह,correct,medium,medium frequency in dataset (n=2),2
ओर,correct,high,found in reference vocabulary,32
गुरु,correct,high,found in reference vocabulary,6
अह्ह्,incorrect,high,invalid structure: ends with halant,1
गये,correct,high,found in reference vocabulary,10
लोगो,correct,high,found in reference vocabulary,15
अहह,correct,high,found in reference vocabulary,8
ठीक,correct,high,found in reference vocabulary,177
शोक,correct,high,found in reference vocabulary,6
चार,correct,high,found in reference vocabulary,44
दोस्त,correct,high,found in reference vocabulary,91
कैंप,correct,medium,medium frequency in dataset (n=2),2
वगैरह,correct,high,found in reference vocabulary,84
चीज,correct,high,found in reference vocabulary,206
निकल,correct,high,found in reference vocabulary,18
ट्रेन,correct,high,found in reference vocabulary,58
पकड़,correct,high,found in reference vocabulary,6
जाकर,correct,high,found in reference vocabulary,25
स्टील,incorrect,medium,possible typo of 'स्टडी' (similarity=80.0),1
ज्वेलर्स,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
जरूरी,correct,high,found in reference vocabulary,32
चीजे,correct,high,found in reference vocabulary,28
लेके,correct,high,found in reference vocabulary,52
मै,correct,high,found in reference vocabulary,89
लोगों,correct,high,found in reference vocabulary,133
पहला,correct,high,found in reference vocabulary,20
उतना,correct,high,found in reference vocabulary,38
वीडियो,correct,high,found in reference vocabulary,16
देख,correct,high,found in reference vocabulary,60
सीखा,correct,high,found in reference vocabulary,12
वही,correct,high,found in reference vocabulary,166
मिजोरम,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
घना,incorrect,medium,possible typo of 'घटना' (similarity=85.71428571428572),1
अभी,correct,high,found in reference vocabulary,240
सेर,correct,medium,medium frequency in dataset (n=2),2
घूमते,correct,high,found in reference vocabulary,11
रातों,correct,medium,medium frequency in dataset (n=2),2
उस,correct,high,found in reference vocabulary,267
रुकी,correct,high,found in reference vocabulary,3
चारों,correct,high,found in reference vocabulary,5
बंदर,incorrect,medium,possible typo of 'बंद' (similarity=85.71428571428572),1
पक्षियों,incorrect,medium,possible typo of 'क्यों' (similarity=76.92307692307692),1
पशु,correct,high,found in reference vocabulary,15
पास,correct,high,found in reference vocabulary,130
वहीं,correct,high,found in reference vocabulary,37
लगना,correct,medium,medium frequency in dataset (n=2),2
स्टार्ट,correct,high,found in reference vocabulary,17
मैंने,correct,high,found in reference vocabulary,239
कहा,correct,high,found in reference vocabulary,78
बिताई,incorrect,medium,possible typo of 'बताईए' (similarity=80.0),1
भयानक,correct,medium,medium frequency in dataset (n=2),2
जिस,correct,high,found in reference vocabulary,41
जगह,correct,high,found in reference vocabulary,82
सोए,correct,medium,medium frequency in dataset (n=2),2
ह,correct,high,found in reference vocabulary,30
चीट,incorrect,medium,possible typo of 'ची' (similarity=80.0),1
लोके,correct,medium,medium frequency in dataset (n=2),2
लो,correct,high,found in reference vocabulary,51
स,correct,high,found in reference vocabulary,4
शेर,correct,high,found in reference vocabulary,3
दहाड़ने,incorrect,low,no close match found in vocabulary (best=66.66666666666667),1
थी।,correct,high,found in reference vocabulary,7
चीज़,correct,high,found in reference vocabulary,41
मुझ,correct,high,found in reference vocabulary,3
कब,correct,high,found in reference vocabulary,25
आएगा।,incorrect,medium,possible typo of 'आएगा' (similarity=88.88888888888889),1
पूरी,correct,high,found in reference vocabulary,26
इसकी,correct,high,found in reference vocabulary,15
चक्कर,correct,high,found in reference vocabulary,12
सोन,incorrect,medium,possible typo of 'सोना' (similarity=85.71428571428572),1
डरावना,correct,medium,medium frequency in dataset (n=2),2
बोले,correct,high,found in reference vocabulary,34
मज़ेदार,correct,high,found in reference vocabulary,4
दोनों,correct,high,found in reference vocabulary,39
खाना,correct,high,found in reference vocabulary,103
चीजों,correct,high,found in reference vocabulary,39
पैक,correct,high,found in reference vocabulary,4
करना,correct,high,found in reference vocabulary,359
याद,correct,high,found in reference vocabulary,69
विडोज़,incorrect,low,no close match found in vocabulary (best=60.0),1
देखे,correct,high,found in reference vocabulary,18
थ्रू,correct,high,found in reference vocabulary,8
ओनलाइन,correct,high,found in reference vocabulary,4
मंगाया,incorrect,medium,possible typo of 'गाया' (similarity=80.0),1
बना,correct,high,found in reference vocabulary,87
खाने,correct,high,found in reference vocabulary,42
अलग,correct,high,found in reference vocabulary,92
वाले,correct,high,found in reference vocabulary,91
सामान,correct,high,found in reference vocabulary,22
बनाने,correct,high,found in reference vocabulary,25
सारी,correct,high,found in reference vocabulary,88
सभी,correct,high,found in reference vocabulary,37
साम्रगी,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
लकड़ी,correct,high,found in reference vocabulary,5
जला,correct,high,found in reference vocabulary,8
पुराने,correct,high,found in reference vocabulary,46
करते,correct,high,found in reference vocabulary,355
बिल्कुल,correct,high,found in reference vocabulary,383
किया,correct,high,found in reference vocabulary,172
वैसे,correct,high,found in reference vocabulary,102
हू,correct,high,found in reference vocabulary,84
ठंड,incorrect,medium,possible typo of 'ठंडी' (similarity=85.71428571428572),1
मौसम,correct,high,found in reference vocabulary,8
इसे,correct,high,found in reference vocabulary,22
छुपछुप,incorrect,low,no close match found in vocabulary (best=50.0),1
खेला,correct,high,found in reference vocabulary,14
यही,correct,high,found in reference vocabulary,106
शरारत,correct,high,found in reference vocabulary,15
आपकी,correct,high,found in reference vocabulary,91
ऐसी,correct,high,found in reference vocabulary,92
सकते,correct,high,found in reference vocabulary,245
कट,correct,high,found in reference vocabulary,40
थोडी,incorrect,medium,possible typo of 'थोड़ी' (similarity=88.88888888888889),1
हलो,correct,high,found in reference vocabulary,11
आवाज़,correct,high,found in reference vocabulary,10
थोड़ी,correct,high,found in reference vocabulary,54
हेल्लो,correct,medium,medium frequency in dataset (n=2),2
बोला,correct,high,found in reference vocabulary,59
आपने,correct,high,found in reference vocabulary,188
बचपन,correct,high,found in reference vocabulary,53
मां,correct,high,found in reference vocabulary,12
चीजें,correct,high,found in reference vocabulary,86
पेरेंट्स,correct,high,found in reference vocabulary,4
बोलें,correct,high,found in reference vocabulary,5
मना,correct,high,found in reference vocabulary,16
करी,correct,high,found in reference vocabulary,25
जैसा,correct,high,found in reference vocabulary,53
लंच,correct,high,found in reference vocabulary,21
वाली,correct,high,found in reference vocabulary,52
था।क्या,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
खेलना,correct,high,found in reference vocabulary,11
खेलने,correct,high,found in reference vocabulary,17
खाते,correct,high,found in reference vocabulary,22
दर,correct,high,found in reference vocabulary,6
फेंक।,incorrect,medium,possible typo of 'फेंक' (similarity=88.88888888888889),1
उतनी,correct,high,found in reference vocabulary,8
अकल,correct,medium,medium frequency in dataset (n=2),2
बैग,correct,high,found in reference vocabulary,11
ऊपर,correct,high,found in reference vocabulary,50
हिस्से,incorrect,medium,possible typo of 'किस्से' (similarity=83.33333333333334),1
उसमें,correct,high,found in reference vocabulary,182
रख,correct,high,found in reference vocabulary,27
लेते,correct,high,found in reference vocabulary,81
खाली,correct,high,found in reference vocabulary,14
डिब्बा,incorrect,low,no close match found in vocabulary (best=60.0),1
बट,correct,high,found in reference vocabulary,72
इतनी,correct,high,found in reference vocabulary,28
फेंक,correct,high,found in reference vocabulary,3
दे,correct,high,found in reference vocabulary,75
खिला,correct,high,found in reference vocabulary,8
सोच,correct,high,found in reference vocabulary,51
साल,correct,high,found in reference vocabulary,46
धोती,correct,medium,medium frequency in dataset (n=2),2
पंद्रह,correct,high,found in reference vocabulary,10
समय,correct,high,found in reference vocabulary,129
निकलता,correct,high,found in reference vocabulary,8
पराठे,correct,medium,medium frequency in dataset (n=2),2
डांट,correct,high,found in reference vocabulary,5
पड़ती,correct,high,found in reference vocabulary,10
यह,correct,high,found in reference vocabulary,227
करती,correct,high,found in reference vocabulary,62
खाती,correct,high,found in reference vocabulary,4
कंप्लेंट,correct,medium,medium frequency in dataset (n=2),2
बेसिकली,correct,high,found in reference vocabulary,3
हर,correct,high,found in reference vocabulary,95
स्कूल,correct,high,found in reference vocabulary,109
दाई,incorrect,medium,possible typo of 'दवाई' (similarity=85.71428571428572),1
चेक,correct,high,found in reference vocabulary,7
उसको,correct,high,found in reference vocabulary,193
ज्यादा,correct,high,found in reference vocabulary,317
पैसे,correct,high,found in reference vocabulary,49
देती,correct,high,found in reference vocabulary,32
कोशिश,correct,high,found in reference vocabulary,38
लीजिएगा,incorrect,medium,possible typo of 'लीजिए' (similarity=83.33333333333334),1
खा,correct,high,found in reference vocabulary,28
था।,correct,high,found in reference vocabulary,19
छोटे,correct,high,found in reference vocabulary,48
खेलते,correct,high,found in reference vocabulary,33
मना।,incorrect,medium,possible typo of 'ना।' (similarity=85.71428571428572),1
दिनों,correct,high,found in reference vocabulary,18
बच्चों,correct,high,found in reference vocabulary,28
करें,correct,high,found in reference vocabulary,60
डिस्टर्ब,correct,medium,medium frequency in dataset (n=2),2
जाना,correct,high,found in reference vocabulary,80
चाहती,correct,high,found in reference vocabulary,12
जाएं।,incorrect,medium,possible typo of 'जाएं' (similarity=88.88888888888889),1
हमेशा,correct,high,found in reference vocabulary,41
बैठा,correct,high,found in reference vocabulary,8
डरावनी,correct,medium,medium frequency in dataset (n=2),2
कहानिया,correct,medium,close match to 'कहानियां' (similarity=93.33333333333333),1
मारे,correct,high,found in reference vocabulary,4
देखते,correct,high,found in reference vocabulary,42
जितनी,correct,high,found in reference vocabulary,9
कहानियां,correct,high,found in reference vocabulary,6
बताईं,incorrect,medium,possible typo of 'बताऊं' (similarity=80.0),1
नजर,correct,high,found in reference vocabulary,3
कितना,correct,high,found in reference vocabulary,26
माने,correct,medium,medium frequency in dataset (n=2),2
बंद,correct,high,found in reference vocabulary,14
देंगे,correct,high,found in reference vocabulary,20
आज,correct,high,found in reference vocabulary,134
कल,correct,high,found in reference vocabulary,41
बच्चे,correct,high,found in reference vocabulary,56
आगे,correct,high,found in reference vocabulary,78
टॉपिक,correct,high,found in reference vocabulary,146
निर्दोष,correct,high,found in reference vocabulary,16
कहानी,correct,high,found in reference vocabulary,27
सुनाइए,incorrect,medium,possible typo of 'सुना' (similarity=80.0),1
बताइए,correct,high,found in reference vocabulary,64
नतीजा,correct,high,found in reference vocabulary,7
निकला,correct,high,found in reference vocabulary,7
कभी,correct,high,found in reference vocabulary,287
जिनका,correct,high,found in reference vocabulary,4
भयंकर,incorrect,low,no close match found in vocabulary (best=72.72727272727273),1
हेलो,correct,high,found in reference vocabulary,80
रहीं,correct,high,found in reference vocabulary,6
बिलकुल,correct,high,found in reference vocabulary,35
यादे,correct,medium,medium frequency in dataset (n=2),2
बताओं,incorrect,medium,possible typo of 'बताओ' (similarity=88.88888888888889),1
थर्ड,correct,high,found in reference vocabulary,5
फोर्ट,incorrect,medium,possible typo of 'फोर' (similarity=75.0),1
मेरी,correct,high,found in reference vocabulary,106
रोटी,correct,high,found in reference vocabulary,25
भुजिया,correct,high,found in reference vocabulary,6
पराठा,correct,high,found in reference vocabulary,3
पसंद,correct,high,found in reference vocabulary,116
जिससे,correct,high,found in reference vocabulary,46
सब्जी,correct,high,found in reference vocabulary,17
रहती,correct,high,found in reference vocabulary,60
लेती,correct,high,found in reference vocabulary,8
अच्छी,correct,high,found in reference vocabulary,81
लगती,correct,high,found in reference vocabulary,26
आपनी,incorrect,medium,possible typo of 'आपन' (similarity=85.71428571428572),1
बेस्ट,correct,high,found in reference vocabulary,17
फ्रेंड,correct,high,found in reference vocabulary,34
क्लास,correct,high,found in reference vocabulary,46
चलते,correct,high,found in reference vocabulary,15
दूसरों,correct,high,found in reference vocabulary,11
खुद,correct,high,found in reference vocabulary,75
उनका,correct,high,found in reference vocabulary,81
खराब,correct,high,found in reference vocabulary,25
लाइ,incorrect,medium,possible typo of 'लाइक' (similarity=85.71428571428572),1
पास्ता,incorrect,medium,possible typo of 'रास्ता' (similarity=83.33333333333334),1
मैगी,correct,high,found in reference vocabulary,3
नूडल्स,correct,medium,medium frequency in dataset (n=2),2
उसका,correct,high,found in reference vocabulary,116
शेयर,correct,high,found in reference vocabulary,54
टेस्टी,correct,high,found in reference vocabulary,5
दाल,correct,high,found in reference vocabulary,5
फ्राइ,correct,medium,medium frequency in dataset (n=2),2
बनाकर,correct,high,found in reference vocabulary,4
एंड,correct,high,found in reference vocabulary,17
मैदा,correct,medium,medium frequency in dataset (n=2),2
बस,correct,high,found in reference vocabulary,185
बगल,correct,high,found in reference vocabulary,10
बैठती,incorrect,medium,possible typo of 'बैठ' (similarity=75.0),1
